                                       Multiple Comparison of Means - Tukey HSD, FWER=0.05                                        
                    group1                   ,                    group2                   ,meandiff,p-adj , lower , upper ,reject
bm25_preprocessed|P@10                       ,bm25_raw|P@10                                ,-0.0763 ,0.0   ,-0.1102,-0.0424,True  
bm25_preprocessed|P@10                       ,cohere_embeddings_v3.0_classification|P@10   ,0.0217  ,0.699 ,-0.0122,0.0556 ,False 
bm25_preprocessed|P@10                       ,cohere_embeddings_v3.0_clustering|P@10       ,0.0368  ,0.0188,0.0029 ,0.0707 ,True  
bm25_preprocessed|P@10                       ,cohere_embeddings_v3.0_search_document|P@10  ,-0.0568 ,0.0   ,-0.0907,-0.0229,True  
bm25_preprocessed|P@10                       ,cohere_embeddings_v3.0_search_query|P@10     ,0.0542  ,0.0   ,0.0203 ,0.0881 ,True  
bm25_preprocessed|P@10                       ,cohere_embeddings|P@10                       ,0.0152  ,0.978 ,-0.0187,0.0491 ,False 
bm25_preprocessed|P@10                       ,gemini_embeddings_classification|P@10        ,-0.0247 ,0.4727,-0.0586,0.0092 ,False 
bm25_preprocessed|P@10                       ,gemini_embeddings_clustering|P@10            ,-0.0274 ,0.2862,-0.0613,0.0065 ,False 
bm25_preprocessed|P@10                       ,gemini_embeddings_retrieval_document|P@10    ,-0.0428 ,0.0016,-0.0767,-0.009 ,True  
bm25_preprocessed|P@10                       ,gemini_embeddings_retrieval_query|P@10       ,-0.0058 ,1.0   ,-0.0397,0.0281 ,False 
bm25_preprocessed|P@10                       ,gemini_embeddings_semantic_similarity|P@10   ,-0.0025 ,1.0   ,-0.0364,0.0314 ,False 
bm25_preprocessed|P@10                       ,levenshtein_distance|P@10                    ,-0.1523 ,0.0   ,-0.1862,-0.1184,True  
bm25_preprocessed|P@10                       ,openai_embeddings_text-embedding-3-large|P@10,0.1144  ,0.0   ,0.0806 ,0.1483 ,True  
bm25_preprocessed|P@10                       ,openai_embeddings_text-embedding-3-small|P@10,0.0285  ,0.2224,-0.0054,0.0624 ,False 
bm25_preprocessed|P@10                       ,openai_embeddings|P@10                       ,0.0348  ,0.0375,0.0009 ,0.0687 ,True  
bm25_raw|P@10                                ,cohere_embeddings_v3.0_classification|P@10   ,0.0981  ,0.0   ,0.0642 ,0.132  ,True  
bm25_raw|P@10                                ,cohere_embeddings_v3.0_clustering|P@10       ,0.1131  ,0.0   ,0.0792 ,0.147  ,True  
