                                       Multiple Comparison of Means - Tukey HSD, FWER=0.05                                        
                    group1                   ,                    group2                   ,meandiff,p-adj , lower , upper ,reject
bm25_preprocessed|AP@1                       ,bm25_raw|AP@1                                ,-0.2261 ,0.0   ,-0.3448,-0.1075,True  
bm25_preprocessed|AP@1                       ,cohere_embeddings_v3.0_classification|AP@1   ,0.0704  ,0.8073,-0.0483,0.189  ,False 
bm25_preprocessed|AP@1                       ,cohere_embeddings_v3.0_clustering|AP@1       ,0.0678  ,0.8474,-0.0508,0.1865 ,False 
bm25_preprocessed|AP@1                       ,cohere_embeddings_v3.0_search_document|AP@1  ,0.0     ,1.0   ,-0.1187,0.1187 ,False 
bm25_preprocessed|AP@1                       ,cohere_embeddings_v3.0_search_query|AP@1     ,0.0729  ,0.7624,-0.0458,0.1915 ,False 
bm25_preprocessed|AP@1                       ,cohere_embeddings|AP@1                       ,0.0251  ,1.0   ,-0.0935,0.1438 ,False 
bm25_preprocessed|AP@1                       ,gemini_embeddings_classification|AP@1        ,-0.0201 ,1.0   ,-0.1388,0.0986 ,False 
bm25_preprocessed|AP@1                       ,gemini_embeddings_clustering|AP@1            ,-0.0251 ,1.0   ,-0.1438,0.0935 ,False 
bm25_preprocessed|AP@1                       ,gemini_embeddings_retrieval_document|AP@1    ,-0.0427 ,0.9977,-0.1614,0.0759 ,False 
bm25_preprocessed|AP@1                       ,gemini_embeddings_retrieval_query|AP@1       ,-0.0226 ,1.0   ,-0.1413,0.096  ,False 
bm25_preprocessed|AP@1                       ,gemini_embeddings_semantic_similarity|AP@1   ,-0.0251 ,1.0   ,-0.1438,0.0935 ,False 
bm25_preprocessed|AP@1                       ,levenshtein_distance|AP@1                    ,-0.1608 ,0.0004,-0.2795,-0.0421,True  
bm25_preprocessed|AP@1                       ,openai_embeddings_text-embedding-3-large|AP@1,0.1357  ,0.0088,0.017  ,0.2543 ,True  
bm25_preprocessed|AP@1                       ,openai_embeddings_text-embedding-3-small|AP@1,0.0427  ,0.9977,-0.0759,0.1614 ,False 
bm25_preprocessed|AP@1                       ,openai_embeddings|AP@1                       ,0.0402  ,0.9989,-0.0785,0.1589 ,False 
bm25_raw|AP@1                                ,cohere_embeddings_v3.0_classification|AP@1   ,0.2965  ,0.0   ,0.1778 ,0.4151 ,True  
bm25_raw|AP@1                                ,cohere_embeddings_v3.0_clustering|AP@1       ,0.294   ,0.0   ,0.1753 ,0.4126 ,True  
bm25_raw|AP@1                                ,cohere_embeddings_v3.0_search_document|AP@1  ,0.2261  ,0.0   ,0.1075 ,0.3448 ,True  
